label,image_path
2,resized_train_data/isbi2025_ps3c_train_image_21952.png
0,resized_train_data/isbi2025_ps3c_train_image_61450.png
0,resized_train_data/isbi2025_ps3c_train_image_42695.png
3,resized_train_data/isbi2025_ps3c_train_image_00422.png
0,resized_train_data/isbi2025_ps3c_train_image_44966.png
0,resized_train_data/isbi2025_ps3c_train_image_71092.png
2,resized_train_data/isbi2025_ps3c_train_image_29570.png
0,resized_train_data/isbi2025_ps3c_train_image_71819.png
2,resized_train_data/isbi2025_ps3c_train_image_03503.png
0,resized_train_data/isbi2025_ps3c_train_image_48373.png
2,resized_train_data/isbi2025_ps3c_train_image_28638.png
2,resized_train_data/isbi2025_ps3c_train_image_17744.png
2,resized_train_data/isbi2025_ps3c_train_image_31986.png
2,resized_train_data/isbi2025_ps3c_train_image_05528.png
2,resized_train_data/isbi2025_ps3c_train_image_12699.png
0,resized_train_data/isbi2025_ps3c_train_image_36534.png
0,resized_train_data/isbi2025_ps3c_train_image_75648.png
1,resized_train_data/isbi2025_ps3c_train_image_82794.png
0,resized_train_data/isbi2025_ps3c_train_image_47953.png
2,resized_train_data/isbi2025_ps3c_train_image_06767.png
0,resized_train_data/isbi2025_ps3c_train_image_73391.png
0,resized_train_data/isbi2025_ps3c_train_image_70503.png
0,resized_train_data/isbi2025_ps3c_train_image_79762.png
0,resized_train_data/isbi2025_ps3c_train_image_54351.png
2,resized_train_data/isbi2025_ps3c_train_image_07160.png
2,resized_train_data/isbi2025_ps3c_train_image_25970.png
0,resized_train_data/isbi2025_ps3c_train_image_56330.png
2,resized_train_data/isbi2025_ps3c_train_image_27888.png
2,resized_train_data/isbi2025_ps3c_train_image_25218.png
0,resized_train_data/isbi2025_ps3c_train_image_78472.png
0,resized_train_data/isbi2025_ps3c_train_image_59583.png
0,resized_train_data/isbi2025_ps3c_train_image_72834.png
0,resized_train_data/isbi2025_ps3c_train_image_74125.png
2,resized_train_data/isbi2025_ps3c_train_image_19276.png
2,resized_train_data/isbi2025_ps3c_train_image_31555.png
2,resized_train_data/isbi2025_ps3c_train_image_28274.png
2,resized_train_data/isbi2025_ps3c_train_image_26411.png
0,resized_train_data/isbi2025_ps3c_train_image_69509.png
0,resized_train_data/isbi2025_ps3c_train_image_68589.png
2,resized_train_data/isbi2025_ps3c_train_image_13000.png
0,resized_train_data/isbi2025_ps3c_train_image_44660.png
2,resized_train_data/isbi2025_ps3c_train_image_23356.png
0,resized_train_data/isbi2025_ps3c_train_image_81758.png
2,resized_train_data/isbi2025_ps3c_train_image_22777.png
0,resized_train_data/isbi2025_ps3c_train_image_62959.png
2,resized_train_data/isbi2025_ps3c_train_image_04036.png
3,resized_train_data/isbi2025_ps3c_train_image_02669.png
0,resized_train_data/isbi2025_ps3c_train_image_58007.png
2,resized_train_data/isbi2025_ps3c_train_image_08640.png
0,resized_train_data/isbi2025_ps3c_train_image_58983.png
3,resized_train_data/isbi2025_ps3c_train_image_00572.png
2,resized_train_data/isbi2025_ps3c_train_image_15118.png
2,resized_train_data/isbi2025_ps3c_train_image_12170.png
0,resized_train_data/isbi2025_ps3c_train_image_60171.png
0,resized_train_data/isbi2025_ps3c_train_image_56526.png
3,resized_train_data/isbi2025_ps3c_train_image_01583.png
2,resized_train_data/isbi2025_ps3c_train_image_17597.png
2,resized_train_data/isbi2025_ps3c_train_image_12085.png
2,resized_train_data/isbi2025_ps3c_train_image_08227.png
0,resized_train_data/isbi2025_ps3c_train_image_40536.png
2,resized_train_data/isbi2025_ps3c_train_image_29102.png
0,resized_train_data/isbi2025_ps3c_train_image_48775.png
0,resized_train_data/isbi2025_ps3c_train_image_78940.png
0,resized_train_data/isbi2025_ps3c_train_image_55363.png
2,resized_train_data/isbi2025_ps3c_train_image_27148.png
0,resized_train_data/isbi2025_ps3c_train_image_56681.png
0,resized_train_data/isbi2025_ps3c_train_image_78700.png
0,resized_train_data/isbi2025_ps3c_train_image_66745.png
0,resized_train_data/isbi2025_ps3c_train_image_38036.png
2,resized_train_data/isbi2025_ps3c_train_image_10798.png
0,resized_train_data/isbi2025_ps3c_train_image_79659.png
2,resized_train_data/isbi2025_ps3c_train_image_16866.png
0,resized_train_data/isbi2025_ps3c_train_image_69632.png
0,resized_train_data/isbi2025_ps3c_train_image_53361.png
0,resized_train_data/isbi2025_ps3c_train_image_53388.png
2,resized_train_data/isbi2025_ps3c_train_image_10557.png